dat_ref,log_ret,media_ret,desvio_ret,z_retorno,media_vol,score_retorno_mercado
2017-03-07,-0.00907011661590902,0.0008506759590997857,0.011158949713473958,-0.8890435775537073,3081026.6666666665,20.05680548406176
2017-03-08,-0.015698620727140886,-0.00017333129196980395,0.01165708238203415,-1.3318332088909826,3091376.6666666665,11.028875722241775
2017-03-09,-0.002057184240191541,0.0004384992050566145,0.011172284365915561,-0.22338166157513803,3109920.0,45.01642800976605
2017-03-10,0.0013925423881139892,0.0003517663724513052,0.011156719851036322,0.09328691851718485,3096000.0,53.909081778891846
2017-03-13,0.013194363861099359,0.0005106433777307087,0.011321401683563192,1.1203312838712647,3051623.3333333335,54.61746854930888
2017-03-14,-0.01282334649632262,-0.00019537704275379982,0.011680288677978799,-1.0811350474048396,3059670.0,14.85519438010785
2017-03-15,0.023463278699355446,7.914923608390367e-05,0.012178980140515086,1.9200400356579082,3108930.0,100.0
2017-03-16,-0.006847577847916118,-0.0008501641461640971,0.011912001005589035,-0.5034765946492175,3113020.0,29.485553747532645
2017-03-17,-0.024202484482351693,-0.0018209940320624753,0.012951183172394728,-1.7281425297107267,3179643.3333333335,0.0
2017-03-20,0.010442098381911168,-0.002216840072065316,0.012406429355328579,1.0203530839870096,3201466.6666666665,83.86651001946291
2017-03-21,-0.029783844514989572,-0.0035214975063299243,0.013788684022455387,-1.9046304176591786,3208716.6666666665,0.0
2017-03-22,0.008553344215128773,-0.003067827578136526,0.014031294756923695,0.8282323188692813,3259113.3333333335,85.99384518651208
2017-03-23,0.0001574158615473299,-0.0036089240637279677,0.013654634271581114,0.2758286930550781,3281486.6666666665,56.38800239694878
2017-03-24,0.005071251595267509,-0.0037266960290228486,0.013563990703913951,0.6486253062494115,3262573.3333333335,50.436680065419104
2017-03-27,0.007084812955891567,-0.003069652914786471,0.013745074064138477,0.7387712734972816,3263610.0,54.45788051635917
2017-03-28,0.005149373912126475,-0.00203410661476024,0.013491816709737156,0.5324324130272491,3260946.6666666665,62.61075593037357
2017-03-29,0.013644118000461045,-0.000817025867452905,0.013707039039277598,1.055015880999205,3273593.3333333335,80.18872736249602
2017-03-30,-0.004006305341765589,-0.0012408190445756177,0.013659154194113102,-0.2024639489304437,3239086.6666666665,29.15106715207806
