dat_ref,retorno,retorno_mm3,desvio_relativo,score_confianca_mercado
2018-06-21,-0.14991644783957092,-0.1660214668187708,-0.0970056420280887,48.73398464285177
2018-06-20,-0.09850049728405974,-0.07213938925449288,0.36541906303878324,52.573701883583425
2018-06-19,-0.19432345761740688,-0.1475801342470131,0.31673181223806757,52.169430065371856
2018-06-18,0.23642362509832537,-0.01880010993438101,-13.57565120222844,0.0
2018-06-15,0.7674016945990125,0.26983395402664306,1.8439775022651164,64.850827799046
2018-06-14,0.5835125652237982,0.5291126283070448,0.10281352968424162,50.39317177157925
2018-06-13,0.4295492093462361,0.5934878230563484,-0.27622911092911717,47.245812761153765
2018-06-12,0.39669110735101043,0.4699176273070143,-0.15582841694117233,48.2455530765738
2018-06-11,0.14325574427445087,0.32316535365723187,-0.5567106973156648,44.9168498593978
2018-06-08,0.18185218082369392,0.24059967748305114,-0.24417113636195809,47.51200432985609
2018-06-07,0.8707460137471701,0.39861797961510437,1.1844122901529452,59.374165569315664
2018-06-06,1.5451159993523422,0.8659047313077348,0.7843949149219069,56.052644042811735
2018-06-05,0.6760666044053565,1.0306428725016223,-0.34403407577604694,46.68279809157138
2018-06-04,0.07556937223121007,0.7655839919963023,-0.9012918595200001,42.055639775139866
2018-06-01,0.004973864602364486,0.2522032804129764,-0.980278350883383,41.39977993601421
2018-05-30,0.1103238729105227,0.0636223699146985,0.7340421782218913,55.63454295715042
2018-05-29,-0.4751344784134526,-0.11994558030018905,2.961250403927586,74.12803979941972
2018-05-28,-0.857691312812281,-0.4075006394384042,1.1047606550858564,58.712782747272584
2018-05-25,1.0042614741679667,-0.10952143901925619,-10.169542357742362,0.0
2018-05-24,0.12507760702971105,0.09054925612846502,0.38132119884297655,52.705744363889465
2018-05-23,0.48112827522528434,0.5368224521409868,-0.10374785311899615,48.67800107648357
2018-05-22,-0.10225133106909201,0.16798485039530053,-1.6086937651131934,36.181768281531376
2018-05-21,0.9762146319467924,0.4516971920343276,1.1612147455470634,59.18154607690994
2018-05-18,0.510404572653389,0.46145595784369586,0.10607429371682953,50.420247340286316
2018-05-17,0.6384311565067025,0.7083501203689607,-0.09870678616647843,48.71985928924161
2018-05-16,0.5513861910648066,0.5667406400749654,-0.027092549791608023,49.31450402832547
2018-05-15,0.7274914496705032,0.6391029324140035,0.13830091018772328,50.68783921744575
2018-05-14,0.29159729062964157,0.5234916437883165,-0.4429762268611219,45.861237566812
2018-05-11,0.09170125382993444,0.3702633313766925,-0.7523350381768134,43.29249427008582
2018-05-10,-0.016499787239587782,0.12226625240666215,-1.134949644033489,40.11547564939778
2018-05-09,0.12333454930777421,0.0661786719660397,0.8636600832827934,56.71081786053798
2018-05-08,0.153110794961675,0.08664851900995323,0.7670330285055111,55.90848060631235
2018-05-07,0.17453065113357535,0.1503253318010076,0.16101956365284753,50.876482264498414
2018-05-04,0.6186556452868031,0.31543236379401723,0.9612941355973095,57.521516661546734
2018-05-03,-0.003866992639811606,0.2631064345935217,-1.0146974460954776,41.11398293631206
2018-05-02,-0.037382374425309894,0.1924687594072266,-1.194225673508998,39.623280509637
2018-04-30,0.4650902885537045,0.1412803071628604,2.2919682713994467,68.57069367361032
2018-04-27,-0.49031982030164345,-0.020870635391083543,22.493286673539433,100.0
2018-04-26,-0.265716165259966,-0.09698189900263558,1.7398531890239113,63.98623748552939
2018-04-25,-0.1608028935898731,-0.30561295971716146,-0.47383483429926243,45.60500487485826
2018-04-24,0.4689362143116105,0.014139051820589868,32.16602982024058,100.0
2018-04-23,0.1826589992865557,0.16359744000276377,0.11651502177216178,50.50694133193638
2018-04-20,0.1342777103291004,0.2619576413090883,-0.48740678203517696,45.4923109786609
2018-04-19,0.27890596884478924,0.1986142261534812,0.40425977658449175,52.896213539664195
2018-04-18,0.015807709890069965,0.14299712968798595,-0.8894543553107551,42.15393181815019
2018-04-17,0.15463477146517857,0.14978281673334534,0.03239326671544074,49.8084411227722
2018-04-16,-0.05672561012018962,0.037905623745019046,-2.4964958894165035,28.80995383110612
2018-04-13,0.22959172786980453,0.10916696307159723,1.103124621312646,58.6991980338769
2018-04-12,-0.11027517701508449,0.020863646911509548,-6.285517794794091,0.0
2018-04-11,0.062231466957651804,0.060516005937456686,0.028347228036960104,49.77484507070101
2018-04-10,-0.038338004890225985,-0.02879390498255348,0.33146250616077855,52.29174554463414
2018-04-09,0.2429004875055485,0.08893131652432418,1.7313267923916453,63.91543903598398
2018-04-06,0.41830687740715966,0.20762312000749347,1.0147413129716107,57.965312259368176
2018-04-05,-0.44916136788897276,0.07068199900791121,-7.354678336682294,0.0
2018-04-04,0.3444507286621157,0.1045320793934336,2.2951676715975964,68.59725971120784
2018-04-03,-0.02288455589128935,-0.0425317317060494,-0.46194159105836696,45.70375974374806
2018-04-02,-0.219148584435791,0.03413919611167785,-7.419266104535712,0.0
2018-03-29,0.15208414756409105,-0.02998299758766369,-6.072346322926201,0.0
2018-03-28,-0.17051672506086524,-0.07919372064418899,1.1531596656126708,59.11466117876184
2018-03-27,-0.16613413100377006,-0.061522236166848675,1.7003916202462683,63.658570593337885
2018-03-26,-0.16853860853504044,-0.1683964881998925,0.0008439625829919084,49.54647327009674
2018-03-23,-0.30183531217359283,-0.2121693505708017,0.4226150542553,53.04862554395109
2018-03-22,-0.21551631980226693,-0.22863008017030065,-0.05735798350884369,49.06319672062986
2018-03-21,-0.2365514906600752,-0.2513010408786456,-0.0586927541843848,49.05211352823305
2018-03-20,0.06271450724006922,-0.1297844344074249,-1.483220561282358,37.22362789396153
2018-03-19,-0.21721679180242148,-0.1303512584074764,0.6663958173952145,55.0728452470305
2018-03-16,-0.09894984103491211,-0.08448404186575538,0.17122522608639867,50.961224402126035
2018-03-15,-0.003014499743769772,-0.10639371086036838,-0.9716665607450612,41.471287445680886
2018-03-14,-0.18001412551031937,-0.09399282209633435,0.9151901336234034,57.138694703060914
2018-03-13,-0.03926035222145963,-0.07409632582518351,-0.4701444129080419,45.635648079008405
